i1,i2,d1,d2,d3,d4,ind1,ind2,ind3,ind4,ind5,,ind6
2011/12,HEKTS,9.36,16.46,12.62,13.75,37.16,1.85,2.38,5.35,2.38,0.001469369,0.1469369
2011/12,IHEVA,-9.1,-6.4,-26.3,-13.53,28.81,1.92,2.63,2.89,2.19,0.002810425,0.2810425
2011/12,KAPLM,-7.08,-2.49,-4.58,-14.2,56.44,4.94,7.38,6.28,1.02,0.000600121,0.0600121
2011/12,KARTN,17.55,17.89,17.49,19.81,11.19,8.1,3.56,11.48,7.07,0.002251754,0.2251754
2011/12,KENT,1.03,-6.35,1.06,1.8,42.58,3.45,6,5.5,1.17,0.005748716,0.5748716
2011/12,KLMSN,2.84,6.57,2.3,10.86,73.53,4.29,7.14,8.1,1.32,0.001648355,0.1648355
2011/12,KNFRT,14.01,22.44,13.26,31.01,55.53,6.45,1.59,6.55,1.57,0.000709314,0.0709314
2011/12,KONYA,7.06,14.91,13.43,8.01,13.73,4.62,4.3,7.13,6.05,0.004420658,0.4420658
2011/12,KORDS,5.82,7.96,5.39,10.24,37.26,6.29,3.73,11.94,1.86,0.016545062,1.6545062
2011/12,KRSTL,0.23,-4.96,0.75,0.25,6.52,0.66,6,5.12,9.36,0.000678392,0.0678392
2011/12,KRTEK,3.14,7.68,3.5,5.87,51.45,2.86,3.59,9.48,2.27,0.001485179,0.1485179
2011/12,KUTPO,6.73,4.81,5.84,8.75,25.59,3.01,2.6,8.08,3.15,0.001656015,0.1656015
2011/12,MRSHL,-1.01,0.96,-0.57,-1.53,38.16,3.24,6.14,5.11,1.84,0.001817465,0.1817465
2011/12,OTKAR,7.36,8.42,6.16,28.36,75.04,4.78,3.81,11.02,0.98,0.008404111,0.8404111
2011/12,OYAKC,27.7,35.46,33.62,32.8,16.73,4.74,3.72,18.12,2.98,0.003110952,0.3110952
2011/12,PARSN,10.05,16.3,17.7,13.75,17,5.27,3.83,9.95,2.1,0.003079744,0.3079744
2011/12,PENGD,-10.57,-9.78,-20.42,-17.76,47.17,5.68,2.08,4.2,0.93,0.001677154,0.1677154
2011/12,PETKM,4.06,1.36,2.63,6.2,36.26,7.85,7.25,7.15,1.59,0.026266379,2.6266379
